Roi,Type,GoalCriteria,AcceptanceLevel,ParameterValue
Bronchus,MaxDvh,AtMost,1560,18.52
Bronchus,MaxDose,AtMost,3480,
Chestwall_L,MaxDvh,AtMost,3000,2.04
D2cm,MaxDose,AtMost,2400,
Esophagus,MaxDvh,AtMost,1880,16.91
Esophagus,MaxDose,AtMost,3000,
GreatVes,MaxDvh,AtMost,4300,5.66
GreatVes,MaxDose,AtMost,4900,
Heart,MaxDvh,AtMost,2800,1.84
Heart,MaxDose,AtMost,3400,
Lungs,MaxDvh,AtMost,2000,10
Lungs,MaxDvh,AtMost,1160,29.19
Pericardium,MaxDvh,AtMost,2800,3.23
Pericardium,MaxDose,AtMost,3400,
PTV,MinDvh,AtLeast,4800,95
PTV,MinDvh,AtLeast,4320,99
Rib,MaxDvh,AtMost,3200,0.27
Rib,MaxDose,AtMost,4000,
Skin,MaxDvh,AtMost,3320,0.27
Skin,MaxDose,AtMost,3600,
SpinalCanal,MaxDvh,AtMost,2080,0.67
Trachea,MaxDvh,AtMost,1560,15.21
Trachea,MaxDose,AtMost,3480,
