Par: 0.0, Flag: 1, Time: 159.6189
Par: 100.0, Flag: 0, Time: 317.3829
Par: 200.0, Flag: 0, Time: 439.5841
Par: 300.0, Flag: 0, Time: 574.6926
Par: 400.0, Flag: 0, Time: 718.3223
Par: 500.0, Flag: 0, Time: 856.8545
Par: 600.0, Flag: 0, Time: 1003.3325
Par: 700.0, Flag: 0, Time: 1140.5830
Par: 800.0, Flag: 0, Time: 1276.7151
Par: 900.0, Flag: 0, Time: 1412.9579
Par: 1000.0, Flag: 0, Time: 1532.7248
Par: 1100.0, Flag: 0, Time: 1652.6501
Par: 1200.0, Flag: 0, Time: 1780.4592
Par: 1300.0, Flag: 0, Time: 1902.0836
Par: 1400.0, Flag: 0, Time: 2010.8553
Par: 1500.0, Flag: 0, Time: 2119.8809
Par: 1600.0, Flag: 0, Time: 2219.2255
Par: 1700.0, Flag: 0, Time: 2323.5611
Par: 1800.0, Flag: 0, Time: 2423.9759
Par: 1900.0, Flag: 0, Time: 2523.7593
Par: 2000.0, Flag: 0, Time: 2614.5134
Par: 2100.0, Flag: 0, Time: 2709.1034
Par: 2200.0, Flag: 0, Time: 2800.3337
Par: 2300.0, Flag: 0, Time: 2893.8818
Par: 2400.0, Flag: 0, Time: 2986.8647
