Par: 2300.0, Flag: 0, Time: 106.0546
Par: 2400.0, Flag: 0, Time: 191.4210
Par: 2500.0, Flag: 0, Time: 277.0155
Par: 2600.0, Flag: 0, Time: 363.0895
Par: 2700.0, Flag: 0, Time: 449.1835
Par: 2800.0, Flag: 0, Time: 534.1044
Par: 2900.0, Flag: 0, Time: 618.8883
Par: 3000.0, Flag: 0, Time: 706.1172
Par: 3100.0, Flag: 0, Time: 796.0304
Par: 3200.0, Flag: 0, Time: 884.4343
Par: 3300.0, Flag: 0, Time: 973.8380
Par: 3400.0, Flag: 0, Time: 1063.0826
Par: 3500.0, Flag: 0, Time: 1152.6504
Par: 3600.0, Flag: 0, Time: 1238.0748
Par: 3700.0, Flag: 0, Time: 1326.5448
Par: 3800.0, Flag: 0, Time: 1416.0076
Par: 3900.0, Flag: 0, Time: 1503.8940
Par: 4000.0, Flag: 0, Time: 1593.3098
