Roi,Type,GoalCriteria,AcceptanceLevel,ParameterValue,Weight,Shape
Chestwall_L,MaxDvh,AtMost,3000,2.04,1,linear
D2cm,MaxDose,AtMost,2400,,1,linear
Esophagus,MaxDvh,AtMost,1880,16.91,1,linear
Lungs,MaxDvh,AtMost,1160,29.19,0.5,linear
Lungs,MaxDvh,AtMost,1240,19.46,0.5,linear
PTV,MinDvh,AtLeast,4800,95,1,linear
PTV,MaxDose,AtMost,8000,,1,linear
Rib,MaxDvh,AtMost,3200,0.27,0.5,linear
Rib,MaxDose,AtMost,4000,,0.5,linear
SpinalCanal,MaxDvh,AtMost,1360,2.3,0.5,linear
SpinalCanal,MaxDose,AtMost,2600,,0.5,linear
