Roi,Type,GoalCriteria,AcceptanceLevel,ParameterValue,Weight,Shape
Chestwall,MaxDvh,AtMost,3000,5.28,1,linear
D2cm,MaxDose,AtMost,3000,,1,linear_quadratic
Esophagus,MaxDvh,AtMost,1880,21.76,1,linear_quadratic
Lung Total-GTV,MaxDvh,AtMost,1160,53.71,1,linear_quadratic
Lung Total-GTV,MaxDvh,AtMost,1240,35.8,1,linear_quadratic
PTV_5000,MinDvh,AtLeast,5000,95,1,linear_quadratic
PTV_5000,MaxDose,AtMost,8000,,1,linear_quadratic
Rib,MaxDvh,AtMost,3200,1.75,1,linear
Rib,MaxDose,AtMost,4000,,1,linear
SpinalCanal,MaxDvh,AtMost,1360,2.41,1,linear_quadratic
SpinalCanal,MaxDose,AtMost,2600,,1,linear_quadratic
