Par: 0.0, Flag: 1, Time: 95.1715
Par: 100.0, Flag: 1, Time: 178.4100
Par: 200.0, Flag: 1, Time: 259.9383
Par: 300.0, Flag: 0, Time: 342.3767
Par: 400.0, Flag: 0, Time: 423.8153
Par: 500.0, Flag: 0, Time: 505.8727
Par: 600.0, Flag: 1, Time: 585.5450
Par: 700.0, Flag: 1, Time: 675.5636
Par: 800.0, Flag: 1, Time: 770.6107
Par: 900.0, Flag: 0, Time: 861.2711
Par: 1000.0, Flag: 0, Time: 952.2009
Par: 1100.0, Flag: 0, Time: 1057.5749
Par: 1200.0, Flag: 0, Time: 1148.6586
Par: 1300.0, Flag: 0, Time: 1240.1419
Par: 1400.0, Flag: 0, Time: 1329.1901
Par: 1500.0, Flag: 0, Time: 1417.3428
Par: 1600.0, Flag: 0, Time: 1504.3909
Par: 1700.0, Flag: 0, Time: 1591.2781
Par: 1800.0, Flag: 0, Time: 1665.8961
Par: 1900.0, Flag: 0, Time: 1741.9228
Par: 2000.0, Flag: 0, Time: 1819.4709
Par: 2100.0, Flag: 0, Time: 1893.6435
Par: 2200.0, Flag: 0, Time: 1972.4969
Par: 2300.0, Flag: 0, Time: 2050.7227
Par: 2400.0, Flag: 0, Time: 2128.4687
Par: 2500.0, Flag: 0, Time: 2205.5769
Par: 2600.0, Flag: 0, Time: 2281.8900
