Roi,Type,GoalCriteria,AcceptanceLevel,ParameterValue,Weight,Shape
ChestWall,MaxDvh,AtMost,3000,4.101837151,1,linear
D2cm,MaxDose,AtMost,2400,,1,linear_quadratic
Esophagus,MaxDvh,AtMost,1880,77.52157152,1,linear_quadratic
Lung_Total-GTV,MaxDvh,AtMost,1160,29.07899978,1,linear_quadratic
Lung_Total-GTV,MaxDvh,AtMost,1240,19.38599985,1,linear_quadratic
PTV,MinDvh,AtLeast,4800,95.0,1,linear_quadratic
PTV,MaxDose,AtMost,8000,,1,linear_quadratic
Ribs,MaxDvh,AtMost,3200,1.19901792,1,linear
Ribs,MaxDose,AtMost,4000,,1,linear
SpinalCanal,MaxDvh,AtMost,1360,2.148098002,1,linear_quadratic
SpinalCanal,MaxDose,AtMost,2600,,1,linear_quadratic
