Roi,Type,GoalCriteria,AcceptanceLevel,ParameterValue,Weight,Shape
ChestWall,MaxDvh,AtMost,3000,2.39,1,linear
D2cm,MaxDose,AtMost,2400,0,1,linear
Esophagus,MaxDvh,AtMost,1880,39.15,1,linear
Lung_Total-GTV,MaxDvh,AtMost,1160,53.33,1,linear
Lung_Total-GTV,MaxDvh,AtMost,1240,35.55,1,linear
PTV,MinDvh,AtLeast,4800,95,1,linear
PTV,MaxDose,AtMost,8000,0,1,linear
Ribs,MaxDvh,AtMost,3200,0.89,1,linear
Ribs,MaxDose,AtMost,4000,0,1,linear
SpinalCanal,MaxDvh,AtMost,1360,9.22,1,linear
SpinalCanal,MaxDose,AtMost,2600,0,1,linear
