Par: 0.0, Flag: 1, Time: 67.6374
Par: 80.0, Flag: 1, Time: 122.2949
Par: 160.0, Flag: 1, Time: 176.1530
Par: 240.0, Flag: 0, Time: 236.5099
Par: 320.0, Flag: 0, Time: 297.6667
Par: 400.0, Flag: 0, Time: 359.3279
Par: 480.0, Flag: 0, Time: 420.7638
Par: 560.0, Flag: 0, Time: 479.9788
Par: 640.0, Flag: 0, Time: 538.0767
Par: 720.0, Flag: 0, Time: 595.8629
Par: 800.0, Flag: 0, Time: 655.1564
Par: 880.0, Flag: 0, Time: 716.5441
Par: 960.0, Flag: 0, Time: 775.2918
Par: 1040.0, Flag: 0, Time: 832.1734
Par: 1120.0, Flag: 0, Time: 889.0421
Par: 1200.0, Flag: 0, Time: 946.5470
Par: 1280.0, Flag: 0, Time: 1004.1690
Par: 1360.0, Flag: 0, Time: 1060.2319
Par: 1440.0, Flag: 0, Time: 1116.3116
Par: 1520.0, Flag: 0, Time: 1171.9351
Par: 1600.0, Flag: 0, Time: 1220.8303
Par: 1680.0, Flag: 0, Time: 1271.6567
Par: 1760.0, Flag: 0, Time: 1319.4253
Par: 1840.0, Flag: 0, Time: 1365.3745
Par: 1920.0, Flag: 0, Time: 1407.6860
Par: 2000.0, Flag: 0, Time: 1448.2359
Par: 2080.0, Flag: 0, Time: 1490.4710
Par: 2160.0, Flag: 0, Time: 1531.7988
Par: 2240.0, Flag: 0, Time: 1572.7769
Par: 2320.0, Flag: 0, Time: 1616.2038
Par: 2400.0, Flag: 0, Time: 1655.6248
