Par: 0.0, Flag: 1, Time: 86.6780
Par: 100.0, Flag: 1, Time: 164.3194
Par: 200.0, Flag: 1, Time: 243.6366
Par: 300.0, Flag: 1, Time: 325.8243
Par: 400.0, Flag: 1, Time: 407.2159
Par: 500.0, Flag: 1, Time: 488.8375
Par: 600.0, Flag: 1, Time: 569.5724
Par: 700.0, Flag: 1, Time: 649.5670
Par: 800.0, Flag: 1, Time: 727.7766
Par: 900.0, Flag: 1, Time: 805.1304
Par: 1000.0, Flag: 1, Time: 884.0674
Par: 1100.0, Flag: 0, Time: 964.4463
Par: 1200.0, Flag: 0, Time: 1043.7320
Par: 1300.0, Flag: 0, Time: 1123.5009
Par: 1400.0, Flag: 0, Time: 1201.4893
Par: 1500.0, Flag: 0, Time: 1277.0844
Par: 1600.0, Flag: 0, Time: 1356.0001
Par: 1700.0, Flag: 0, Time: 1431.4018
Par: 1800.0, Flag: 0, Time: 1505.6719
Par: 1900.0, Flag: 0, Time: 1580.8636
Par: 2000.0, Flag: 0, Time: 1654.6381
Par: 2100.0, Flag: 0, Time: 1728.3132
Par: 2200.0, Flag: 0, Time: 1804.2843
Par: 2300.0, Flag: 0, Time: 1879.4622
Par: 2400.0, Flag: 0, Time: 1955.4744
Par: 2500.0, Flag: 0, Time: 2030.3433
Par: 2600.0, Flag: 0, Time: 2095.4633
Par: 2700.0, Flag: 0, Time: 2161.2412
Par: 2800.0, Flag: 0, Time: 2227.7279
Par: 2900.0, Flag: 0, Time: 2293.7783
Par: 3000.0, Flag: 0, Time: 2358.0423
