Roi,Type,GoalCriteria,AcceptanceLevel,ParameterValue,Weight,Shape
ChestWall,MaxDvh,AtMost,3000,1.94,1,linear
D2cm,MaxDose,AtMost,3000,,1,linear
Esophagus,MaxDvh,AtMost,1880,19.97,1,linear
Lung_Total-GTV,MaxDvh,AtMost,1160,56.63,1,linear
Lung_Total-GTV,MaxDvh,AtMost,1240,37.76,1,linear
PTV,MinDvh,AtLeast,4800,95,1,linear
PTV,MaxDose,AtMost,8000,,1,linear
Ribs,MaxDvh,AtMost,3200,2.13,1,linear
Ribs,MaxDose,AtMost,4000,,1,linear
SpinalCanal,MaxDvh,AtMost,1360,1.99,1,linear
SpinalCanal,MaxDose,AtMost,2600,,1,linear
