Roi,Type,GoalCriteria,AcceptanceLevel,ParameterValue,Weight,Shape
ChestWall,MaxDvh,AtMost,3000,7.97095539,1,linear
D2CM,MaxDose,AtMost,2400,,1,linear_quadratic
Esophagus,MaxDvh,AtMost,1880,23.43993717,1,linear_quadratic
Lung_Total-GTV,MaxDvh,AtMost,1160,40.32536308,1,linear_quadratic
Lung_Total-GTV,MaxDvh,AtMost,1240,26.88357539,1,linear_quadratic
PTV_4800,MinDvh,AtLeast,4800,95.0,1,linear_quadratic
PTV_4800,MaxDose,AtMost,8000,,1,linear_quadratic
Ribs,MaxDvh,AtMost,3200,2.763794512,1,linear
Ribs,MaxDose,AtMost,4000,,1,linear
SpinalCanal,MaxDvh,AtMost,1360,2.699966221,1,linear_quadratic
SpinalCanal,MaxDose,AtMost,2600,,1,linear_quadratic
