Roi,Type,GoalCriteria,AcceptanceLevel,ParameterValue,Weight,Shape
Chestwall,MaxDvh,AtMost,3000,4.068206735,1,linear
D2cm,MaxDose,AtMost,2400,,1,linear_quadratic
Esophagus,MaxDvh,AtMost,1880,17.58388643,1,linear_quadratic
Lung_Total-IGTV,MaxDvh,AtMost,1160,42.37517167,1,linear_quadratic
Lung_Total-IGTV,MaxDvh,AtMost,1240,28.25011445,1,linear_quadratic
PTV4800,MinDvh,AtLeast,4800,95.0,1,linear_quadratic
PTV4800,MaxDose,AtMost,8000,,1,linear_quadratic
Rib,MinDvh,AtMost,3200,0.711912636,1,linear
Rib,MaxDose,AtMost,4000,,1,linear
SpinalCanal,MaxDvh,AtMost,1360,1.650921286,1,linear_quadratic
SpinalCanal,MaxDose,AtMost,2600,,1,linear_quadratic
