Roi,Type,GoalCriteria,AcceptanceLevel,ParameterValue,Weight,Shape
Chestwall,MaxDvh,AtMost,3000,8.448372277,1,linear
D2cm,MaxDose,AtMost,3000,,1,linear_quadratic
Esophagus,MaxDvh,AtMost,1880,46.29556714,1,linear_quadratic
Lungs,MaxDvh,AtMost,1160,62.81636578,1,linear_quadratic
Lungs,MaxDvh,AtMost,1240,41.87757719,1,linear_quadratic
PTV,MinDvh,AtMost,4800,95.0,1,linear_quadratic
PTV,MaxDose,AtLeast,8000,,1,linear_quadratic
Rib,MaxDvh,AtMost,3200,5.778181396,1,linear
Rib,MaxDose,AtMost,4000,,1,linear
SpinalCanal,MaxDvh,AtMost,1360,8.208387347,1,linear_quadratic
SpinalCanal,MaxDose,AtMost,2600,,1,linear_quadratic
