Roi,FunctionType,DoseLevel,PercentVolume,EudParameterA,Weight
Bronchus,MaxDvh,1560,18.52,,"[1,10000]"
Bronchus,MaxDose,3480,0,,"[1,10000]"
Chestwall_L,MaxDvh,3000,2.04,,"[1,10000]"
D2cm,MaxDose,2400,0,,"[1,10000]"
Esophagus,MaxDvh,1880,16.91,,"[1,10000]"
Esophagus,MaxDose,3000,0,,"[1,10000]"
GreatVes,MaxDvh,4300,5.66,,"[1,10000]"
GreatVes,MaxDose,4900,0,,"[1,10000]"
Heart,MaxDvh,2800,1.84,,"[1,10000]"
Heart,MaxDose,3400,0,,"[1,10000]"
Lungs,MaxDvh,2000,10,,"[1,10000]"
Lungs,MaxDvh,1160,29.19,,"[1,10000]"
Pericardium,MaxDvh,2800,3.23,,"[1,10000]"
Pericardium,MaxDose,3400,0,,"[1,10000]"
PTV,MinDvh,4800,95,,"[1,10000]"
PTV,MinDvh,4320,99,,"[1,10000]"
Rib,MaxDvh,3200,0.27,,"[1,10000]"
Rib,MaxDose,4000,0,,"[1,10000]"
Skin,MaxDvh,3320,0.27,,"[1,10000]"
Skin,MaxDose,3600,0,,"[1,10000]"
SpinalCanal,MaxDvh,2080,0.67,,"[1,10000]"
Trachea,MaxDvh,1560,15.21,,"[1,10000]"
Trachea,MaxDose,3480,0,,"[1,10000]"
