Roi,FunctionType,DoseLevel,PercentVolume,EudParameterA,Weight
Bronchus,MaxDvh,"[0,1560]",18.52,,1
Bronchus,MaxDose,"[0,3480]",0,,1
Chestwall_L,MaxDvh,"[0,3000]",2.04,,1
D2cm,MaxDose,"[0,2400]",0,,1
Esophagus,MaxDvh,"[0,1880]",16.91,,1
Esophagus,MaxDose,"[0,3000]",0,,1
GreatVes,MaxDvh,"[0,4300]",5.66,,1
GreatVes,MaxDose,"[0,4900]",0,,1
Heart,MaxDvh,"[0,2800]",1.84,,1
Heart,MaxDose,"[0,3400]",0,,1
Lungs,MaxDvh,"[0,2000]",10,,1
Lungs,MaxDvh,"[0,1160]",29.19,,1
Pericardium,MaxDvh,"[0,2800]",3.23,,1
Pericardium,MaxDose,"[0,3400]",0,,1
PTV,MinDvh,4800,95,,1
PTV,MinDvh,4320,99,,1
PTV,MaxDose,"[5000,6000]",0,,1
Rib,MaxDvh,"[0,3200]",0.27,,1
Rib,MaxDose,"[0,4000]",0,,1
Skin,MaxDvh,"[0,3320]",0.27,,1
Skin,MaxDose,"[0,3600]",0,,1
SpinalCanal,MaxDvh,"[0,2080]",0.67,,1
Trachea,MaxDvh,"[0,1560]",15.21,,1
Trachea,MaxDose,"[0,3480]",0,,1
